gender,label:de,label:en,label:el,label:el:norm,alternatives,Nom Sg,Gen Sg,Dat Sg,Akk Sg,Voc Sg,nomina insignia,source,note,factgrid,label:lat
m,Nabal,Nabal,Νάβαλ,ναβαλ,"Ναβαλ,Νάβαλος",Νάβαλ,Νάβαλ,,,,,Bauer,"0 mal im Ausgangstext,im Bauer kein Verweis auf indekl. oder Genitiv-Form, aber vermutlich ist der Genitiv Νάβαλ, da höchstwahrscheinlich indekl.",https://database.factgrid.de/entity/Q166234,
m,Amon,Amon,Ἀμών,αμων,"Ἀμμών,αμων,αμμωμ",Ἀμών,"Ἀμών,Ἀμμῶνα",,,,,Bauer,"0 mal im Ausgangstext,v.l.",,
m,Beor,Beor,Βεώρ,βεωρ,Βέωρ,Βεώρ,Βεώρ,,,,,Bauer,"0 mal im Ausgangstext,v.l.",,
m,Dan ,Dan ,Δάν,δαν ,Δάνος,Δάν,"Δάν,Δανου",,,,,Bauer,"0 mal im Ausgangstext,v.l.",https://database.factgrid.de/entity/Q166273,
m,Jachin,Jachin?,Ἰαχίν,ιαχιν,,Ἰαχίν,Ἰαχίν,,,,,Bauer,"0 mal im Ausgangstext,v.l.",https://database.factgrid.de/entity/Q166276,
f,Lektra,Lectra,Λέκτρα,λεκτρα,,Λέκτρα,Λεκτρας,,,,,Bauer,"0 mal im Ausgangstext,v.l.",,
m,Nero,Nero,Νέρων,νερων,,Νέρων,Νερωνος,,,,,Bauer,"0 mal im Ausgangstext,v.l.",,
m,Nineves,Nineveh,Νινευής ,νινευης ,"Νευης,Νινευε ",Νινευής ,Νινευής ,,,,,Bauer,"0 mal im Ausgangstext,v.l.",,
m,Ahasja ,Ahaziah ,Ὀχοζίας ,οχοζιας,,Ὀχοζίας ,Οχοζιου ,,,,,Bauer,"0 mal im Ausgangstext,v.l.",,
m,Simaias,Shemaiah ,Σιμαίας ,σιμαιας,,Σιμαίας ,Σιμαιου,,,,,Bauer,"0 mal im Ausgangstext,v.l.",https://database.factgrid.de/entity/Q166694,
m,Sichem,Shechem ,Συχέμ ,συχεμ,,Συχέμ ,Συχέμ ,,,,,Bauer,"0 mal im Ausgangstext,v.l. für die Stadt Συχέμ ",https://database.factgrid.de/entity/Q166698,
f,Thekla,Thecla,Θέκλα,θεκλα,,Θέκλα,"Θεκλης,Θέκλας",,,,,Bauer,"0 mal im Ausgangstext,v.l. laut Bauer aber nicht ohne Weiteres zu identifizieren",https://database.factgrid.de/entity/Q166700,
m,Lebbäus,Lebbaeus,Λεββαῖος,λεββαιος,,Λεββαῖος,Λεββαιου,,,,,"Bauer,Louw-Naida","0 mal im Ausgangstext,v.l.,alternativer Name für Θαδδαῖος",,
m,Zeno,Zeno,Ζήνων,ζηνων,,Ζήνων,Ζηνωνος,,,,,Bauer,"0 mal im Ausgangstext,v.l.,Genitiv rekonstruiert",,
m,Joachim,Joachim,Ἰωακίμ,ιωακιμ,"Ἰωακείμ,ιακειμ",Ἰωακίμ,Ἰωακίμ,,,,,Bauer,"0 mal im Ausgangstext,v.l.,im Bauer als Joachim",,
m,Joasch,Joash,Ἰωάς,ιωας,Ἰώασος,Ἰωάς,"Ἰωάς,Iωασου",,,,,Bauer,"0 mal im Ausgangstext,v.l.,im Bauer als Joas",,
m,Apollonius,Apollonius,Ἀπολλώνιος,απολλωνιος,,Ἀπολλώνιος,Απολλωνιου,,,,,"Bauer,Louw-Naida","0 mal im Ausgangstext,v.l.,Langform zu Ἀπολλῶς",,
m,Jonatan,Jonathan,Ἰωνάθας,ιωναθας,Ἰωνάθης,Ἰωνάθας,Ιωναθου,,,,,"Bauer,Louw-Naida","0 mal im Ausgangstext,v.l.,nach Louw-Nida entspricht Jonathas dem John",https://database.factgrid.de/entity/Q166365,
m,Serach,Zerah,Ζάρα,ζαρα,"Ζάρε,ζαραν,Ζαρά",Ζάρα,Ζάρα,,Ζάρα,,,"Bauer,Louw-Naida","Bauer; Wörterbuch, NRSV",,
m,Christus,Christ,Χριστός,χριστος,Χρηστός ,Χριστός,Χριστοῦ,Χριστῷ,χριστόν,χριστέ,"χω,χρυ,χε,χρε,χρς,χσ,ΧΣ,ΧΥ","Bauer,Louw-Naida",Christus ist in der 2. Bedeutung im Bauer-Wörterbuch ein Eigenname,,
m,Levi,Levi,Λευί,λευι,"Λευίς,Λευΐ,Λευΐς,Λευεί,Λευείς",Λευί,Λευί,,Λευίν,,,"Bauer,Louw-Naida","Darstellung der Alternativen Λευΐ-,Λευεί- nicht eindeutig ",,
m,Simon,Simon,Σίμων ,σιμων,,Σίμων ,Σίμωνος,Σίμωνι,"Σίμωνα,Σίμωνά",,,"Bauer,Louw-Naida",Genitiv nicht im Bauer vermerkt,,
m,Zenas,Zenas,Ζηνᾶς,ζηνας,,Ζηνᾶς,Ζηνᾶ,,Ζηνᾶν,,,"Bauer,Louw-Naida",Genitiv rekonstruiert,,
m,Abija,Abijah,Ἀβιά,αβια,,Ἀβιά,Ἀβιά,,,,,"Bauer; Wörterbuch, NRSV",im Bauer als Abia,https://database.factgrid.de/entity/Q166400,
m,Abjatar,Abiathar,Ἀβιαθάρ,αβιαθαρ,"αβηαβηαθαρ,Ἀβιάθαρ,Ἀβιάθαρος,αβηαθαρ",Ἀβιαθάρ,"Ἀβιαθάρ,Ἀβιαθαρου",,,,,Bauer,im Bauer als Abjathar,https://database.factgrid.de/entity/Q166401,
