label:en|gender|label:el|alternatives|Nom Sg|Gen Sg|Dat Sg|Akk Sg|Voc Sg|factgrid
Father of Barnabas and Mary (the wife of John Mark)|m||||||||https://database.factgrid.de/entity/Q166671
Father of Martha and Mary and Lazarus|m||||||||https://database.factgrid.de/entity/Q166676
Felix|m|Φῆλιξ||Φῆλιξ|Φήλικος|Φήλικι|Φήλικα|Φῆλιξ|https://database.factgrid.de/entity/Q166680
Festus|m|Φῆστος||Φῆστος|Φήστου|Φήστῳ|Φῆστον|Φῆστε|
Fortunatus|m|Φορτουνᾶτος|||Φορτουνάτου||||https://database.factgrid.de/entity/Q166681
Gabriel|m|Γαβριήλ||Γαβριὴλ|||||
Gaius|m|Γάϊος||Γάϊος||Γαΐῳ|Γάϊον||https://database.factgrid.de/entity/Q166694
Gallio|m|Γαλλίων||Γαλλίων|Γαλλίωνος|Γαλλίωνι|||https://database.factgrid.de/entity/Q166698
Gamaliel|m|Γαμαλιήλ|γαμαλιηλου,γαμαληηλ,γαμαηλ|Γαμαλιήλ|Γαμαλιήλ||||https://database.factgrid.de/entity/Q166700
Hagar, concubine of Abraham|f|Ἁγάρ||Ἁγάρ|||||
Heli, son of Matthat|m|Ηλι|||||ἠλὶ||https://database.factgrid.de/entity/Q166931
Henoch, son of Jared|m|Ενοχ|||||||
Hermas|m|Ἑρμᾶς|||||Ἑρμᾶν||https://database.factgrid.de/entity/Q166951
Hermes|m|Ἑρμῆς|||||Ἑρμῆν||https://database.factgrid.de/entity/Q166952
Hermogenes|m|Ἑρμογένης||Ἑρμογένης|||||https://database.factgrid.de/entity/Q166953
Herod|m|Ἡρῴδης|ηρωδηι|Ἡρῴδης|Ἡρῴδου|Ἡρῴδῃ|Ἡρῴδην||https://database.factgrid.de/entity/Q166956,https://database.factgrid.de/entity/Q166955,https://database.factgrid.de/entity/Q166954
Herodias, wife of Herod II|f|Ἡρῳδιὰς|ηρωδηας,ηρωδιαιδα,ιρωδιαδα,ηροδιαδος,ιρωδιαδος,ηρωδειαδος,ηροδιας,ρωδιαδα,ηρωδιαδως,ηρωιαδα,ηρωδιαδε,ρωδιας,ηροδιαδα|Ἡρῳδιὰς|Ἡρῳδιάδος||Ἡρῳδιάδα||https://database.factgrid.de/entity/Q166957
Herodion|m|Ἡρῳδίων|||||Ἡρῳδίωνα||https://database.factgrid.de/entity/Q166958
Hesli|m|Εσλι|||||||
Hesrom|m|Εσρωμ|||||||
Hiob|m|Ιωβ|||||||
Hiskia|m|Εζεκιας|εζεκειας||||||
Hosea|m|Ὡσηέ||||Ὡσηὲ|||
Hymenaeus|m|Ὑμέναιος||Ὑμέναιος|||||https://database.factgrid.de/entity/Q167042
Isaak|m|Ισαακ|||||||
Isaschar|m|Ισσαχαρ|||||||
Ischarioth|m|Ισκαριωθ|||||||
Isebel|f|Ιεζαβελ|||||||
Jacob, son of Matthan|m|Ἰακώβ|γιαχακωβ|Ἰακώβ|Ἰακώβ|Ἰακώβ|Ἰακώβ||https://database.factgrid.de/entity/Q167160
Jairus|m|Ἰάϊρος||Ἰάϊρος|||||https://database.factgrid.de/entity/Q167192
Jambres|m|Ἰαμβρῆς||Ἰαμβρῆς|||||https://database.factgrid.de/entity/Q167198
James|m|Ἰάκωβος||Ἰάκωβος|Ἰακώβου|Ἰακώβῳ|Ἰάκωβον||https://database.factgrid.de/entity/Q167200,https://database.factgrid.de/entity/Q167199,https://database.factgrid.de/entity/Q167201
Janna, son of Joseph|m|Ἰανναί|ιαναν||Ἰανναὶ||||https://database.factgrid.de/entity/Q167206
Jannes|m|Ἰάννης||Ἰάννης|||||https://database.factgrid.de/entity/Q167207
Jared|m|Ἰάρετ|||Ἰάρετ||||
Jason|m|Ἰάσων||Ἰάσων|Ἰάσονος||Ἰάσονα||https://database.factgrid.de/entity/Q167228
Jechonja|m|Ιεχονιας|||||||
Jeremia|m|Ἰερεμίας|||Ἰερεμίου||Ἰερεμίαν||
